Título,Preço (R$),Avaliação,Bairro,Imóvel,Características
Centro São Paulo,72,4.84,Centro,Apartamento inteiro,"['3 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
#1305 - Cyclinn Iguatemi Itaim,209,4.93,Itaim Bibi,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
#809 - Cyclinn Vila Olimpia,204,4.88,Vila Olímpia,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
202 Sofisticação na melhor Localização de SP202,85,4.5,Vila Buarque,Condomínio inteiro,"['4 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Duplex Cobertura - Oficina Rooftop,334,4.84,Vila Madalena,Apartamento inteiro,"['4 hóspedes', 'Estúdio', '2 camas', '1 banheiro e meio', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Studio completo ao lado da Avenida Paulista,100,4.77,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
#1011 - Cyclinn Vila Olimpia,211,4.76,Vila Olímpia,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
FLAT II RESIDENCIAL BROOKLIN (COND. NYC BERRINI),238,4.96,Morumbi,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro e meio', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Stylish Saint Paul Apartment by BnbHost,300,4.92,Jardim Paulista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Estúdio próx. ao metrô República (5 min. a pé),70,4.96,Campos Elíseos,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Studio no centro de São Paulo próximo ao metrô,113,4.81,Consolacao,Flat inteiro,"['2 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Apartamento Mobiliado e Completo com Smart TV!,159,4.72,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
STD 1407. BEM-VINDO AO NOVO CENTRO DE SÃO PAULO!,102,4.79,República,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
#1401 - Cyclinn Vila Olimpia - Flat Familia,214,4.91,Vila Olímpia,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
"Ap Boutique, espacoso, ao lado Shop Frei Caneca",140,4.9,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Apartamento com garagem e vista maravilhosa | Vila Olímpia,444,5.0,Vila Olímpia,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro e meio', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
#1508 - Cyclinn Faria Lima Itaim,211,4.84,Itaim Bibi,Apartamento inteiro,"['2 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
Suíte aconchegante aos pés da Av. Paulista,135,4.86,Vila Mariana,Quarto inteiro,"['2 hóspedes', '1 quarto', '2 camas', '1 banheiros privado', 'Wi-Fi']"
Studio Home AP 105 Próximo Av Paulista,119,4.61,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Conforto e bem localizado.,100,4.77,Consolacao,Apartamento inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Flat Paulista completo,124,4.42,Jardim Paulista,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Nomah Bela Vista | Apto Novo 23m² Studio Completo,105,4.65,Bela Vista,Loft inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi']"
Vista Fantástica no Copan ✨ Cama Queen,143,4.91,República,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Studio maravilhoso em São Paulo próximo ao metrô,111,4.86,República,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Apto em Higienópolis com cooktop e internet rápida,115,4.79,Santa Cecília,Condomínio inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
STD 1405. BEM-VINDO AO NOVO CENTRO DE SÃO PAULO,103,4.73,República,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio moderno com varanda e garagem | Itaim Bibi,280,5.0,Itaim Bibi,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Centro Histórico,71,4.74,Centro,Apartamento inteiro,"['3 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi']"
Apartamento moderno em Pinheiros,155,4.68,Pinheiros,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
#1310 - Cyclinn Faria Lima Itaim,211,4.87,Itaim Bibi,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
Casa Estúdio Próx Av Paulista,137,4.82,Consolacao,Loft inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
⭐ Luxury Studio in the heart of Sao Paulo,98,4.85,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Lindo Studio no Bela Vista com sacada  APM1205,150,4.78,Bela Vista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
FLAT 104 MARAVILHOSO NOS JARDINS,135,,Cerqueira César,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
VO43 Apartamento exuberante na Vila Olímpia,316,4.89,Vila Olímpia,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro e meio', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
(NOVO) Studio Design do Arquiteto FREI CANECA 95,75,5.0,Bela Vista,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 banheiro', 'Wi-Fi', 'Cozinha']"
STUDIO MARINE  - SUPER CHARMOSO  - CONSOLAÇÃO,120,4.87,República,Flat inteiro,"['2 hóspedes', 'Estúdio', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
CasApp Studio Novinho no Coração de São Paulo 503,103,4.91,Bela Vista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Design e conforto em estúdio industrial na Vila Nova,250,4.97,Itaim Bibi,Apartamento inteiro,"['4 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Studio perfeito em São Paulo próximo ao metrô,114,4.83,República,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
